GeoID,Mean household income (dollars),Civilian noninstitutionalized population with private insurance,Population in labour force,Population with determined poverty status,Population with 65 years and over,Population,Total households,School Employees,Population with bachelor’s degree or higher,Married males,Married females,Average household size,Vacant housing units,Median Gross Rent (dollars),Housing units with 3 or more vehicles available
MN0902,59421.0,10284,11965,23677,2940,23769,8512,6523,4859,9142,10725,2.75,421,1146.0,41
MN0903,78934.0,25729,32310,52355,5821,52510,19391,11015,14682,22365,22357,2.67,2035,1399.0,72
MN1001,105597.0,29462,27544,49475,5131,49945,20143,11352,16939,19722,22175,2.41,2348,1253.0,154
MN1002,74383.0,42799,43192,82288,9507,82712,34875,19975,20265,29527,38123,2.33,3507,1089.0,132
MN1101,82488.0,30645,27380,55871,8633,58553,24659,15049,15271,21427,27934,2.24,2459,992.0,28
MN1102,54086.0,27142,27532,64097,7612,64762,26741,16507,12083,24213,28647,2.37,2194,873.0,64
MN1201,68128.0,37653,48449,82679,11289,83914,27745,18429,18235,36009,36876,2.98,1810,1288.0,144
MN1202,78690.0,41456,45263,77836,13013,80126,29087,18045,24984,32567,36184,2.68,1978,1437.0,91
MN1203,73054.0,20976,23072,41759,5974,41936,15923,10095,10568,15983,19162,2.63,547,1340.0,22
QN0101,101615.0,33299,28806,47146,6826,47234,19263,9013,17956,20667,20219,2.45,3104,1802.0,452
QN0102,87590.0,7534,7704,14567,1792,14574,5944,3122,3970,6095,6089,2.45,1773,1538.0,42
QN0103,97720.0,33339,31489,46113,5798,46478,21810,7352,22837,19807,22233,2.12,4294,1818.0,67
QN0104,83659.0,20837,21576,35399,4912,35517,15050,6676,12112,15332,15883,2.35,2471,1608.0,251
QN0105,69278.0,13616,13262,25754,3838,25797,11234,6244,5738,9628,11856,2.28,2204,940.0,145
QN0201,172673.0,18089,14168,20152,937,20199,9467,3105,12515,8948,8312,2.11,4268,3006.0,97
QN0202,82320.0,28132,29432,48908,6529,49399,20821,8612,15456,22390,20531,2.35,2076,1613.0,232
QN0203,78798.0,23246,25145,45884,7921,46191,16564,9382,10634,19441,19917,2.77,1282,1543.0,311
QN0301,79529.0,49069,49690,91147,14672,91836,33268,19062,18673,38508,39141,2.75,5107,1530.0,1033
QN0302,72509.0,11712,12178,24152,3501,24962,6986,6200,2686,10108,10172,3.43,2976,1632.0,288
QN0303,73729.0,12457,22158,41387,3029,41926,9327,10742,2147,17855,13989,4.48,615,1703.0,154
QN0401,70275.0,39188,53331,95650,12886,96436,30924,21552,18641,39978,40533,3.1,3592,1548.0,568
QN0402,64457.0,28889,35026,68941,7181,70079,19278,18643,6973,28104,26129,3.61,1469,1583.0,365
QN0501,99694.0,27936,21897,42671,5533,42986,14104,10320,8171,16654,18028,3.03,1413,1640.0,876
QN0502,84762.0,40184,40590,72764,6292,72983,23627,17955,14734,29212,29655,3.08,2057,1576.0,465
