LandUse,LotArea,BldgArea,NumBldgs,NumFloors,UnitsRes,LotFront,LotDepth,BldgFront,BldgDepth,ProxCode,LotType,AssessLand,BuiltFAR,BoroCode,BBL,XCoord,YCoord,ZoneMap,Sanborn,TaxMap,PLUTOMapID,Shape_Leng,Shape_Area,Largest Property Use Type - Gross Floor Area (ft²),Building Age,ENERGY STAR Score,Weather Normalized Source EUI (kBtu/ft²),Weather Normalized Site Natural Gas Use (therms),Weather Normalized Site Energy Use (kBtu),Latitude,Longitude,NTA,GeoID,ntaname,Mean household income (dollars),Civilian noninstitutionalized population with private insurance,Population in labour force,Population with determined poverty status,Population with 65 years and over,Population,Total households,School Employees,Population with bachelor’s degree or higher,Married males,Married females,Average household size,Vacant housing units,Median Gross Rent (dollars),Housing units with 3 or more vehicles available
8,78920,157160,1,4.0,0,430.33,184.0,332.0,175.0,3,5,7875000,1.99,1,1007410010,983635,209793,8b,103 037,10303,1,1241.47105,81117.98127,180175.0,53,95,66.1,585.3,8425718.9,40.742129,-74.002198,Hudson Yards-Chelsea-Flatiron-Union Square,MN0401,Chelsea-Hudson Yards,183002.0,49723,43566,60280,8150,60836,35730,7674,38340,30271,26227,1.68,4987,2331.0,168
3,4542,24617,1,14.0,37,46.0,98.75,41.0,65.0,1,5,350550,5.42,1,1007540019,985144,212711,8d,105S019,10304,1,304.8062778,4808.147428,24617.0,32,81,109.7,12124.8,1722635.9,40.750179,-73.996441,Hudson Yards-Chelsea-Flatiron-Union Square,MN0401,Chelsea-Hudson Yards,183002.0,49723,43566,60280,8150,60836,35730,7674,38340,30271,26227,1.68,4987,2331.0,168
4,13275,55233,1,6.0,55,97.17,103.25,97.0,98.0,3,4,1233000,4.16,1,1007900028,985028,208110,8d,103 028,10305,1,628.9313914,13601.09916,50952.0,69,2,225.1,34391.0,9411033.4,40.738275,-73.996907,Hudson Yards-Chelsea-Flatiron-Union Square,MN0401,Chelsea-Hudson Yards,183002.0,49723,43566,60280,8150,60836,35730,7674,38340,30271,26227,1.68,4987,2331.0,168
5,8379,115433,1,12.0,0,91.67,92.0,92.0,90.0,3,5,976500,13.78,1,1007680050,984660,209556,8d,103 033,10304,1,370.8961028,8597.621744,92532.0,90,66,152.2,36120.7,8238656.8,40.742093,-73.998528,Hudson Yards-Chelsea-Flatiron-Union Square,MN0401,Chelsea-Hudson Yards,183002.0,49723,43566,60280,8150,60836,35730,7674,38340,30271,26227,1.68,4987,2331.0,168
4,20775,214594,1,13.0,259,122.17,148.0,130.0,120.0,1,3,1156500,10.33,1,1007340037,985500,214414,8d,105S029,10302,1,604.5374284,22142.7073,221989.0,16,64,117.3,109058.9,16112330.5,40.755325,-73.995019,Hudson Yards-Chelsea-Flatiron-Union Square,MN0401,Chelsea-Hudson Yards,183002.0,49723,43566,60280,8150,60836,35730,7674,38340,30271,26227,1.68,4987,2331.0,168
5,12906,111300,1,7.0,0,125.0,103.25,125.0,92.0,3,5,765000,8.62,1,1007120046,982480,209617,8b,103 040,10302,1,473.4763452,13985.50829,85887.0,3,64,163.3,31283.2,6963461.1,40.742211,-74.006232,Hudson Yards-Chelsea-Flatiron-Union Square,MN0401,Chelsea-Hudson Yards,183002.0,49723,43566,60280,8150,60836,35730,7674,38340,30271,26227,1.68,4987,2331.0,168
5,6599,29922,1,6.0,0,66.87,98.75,67.0,99.0,2,5,315000,4.53,1,1006980061,983039,212825,8b,105S004,10301,1,334.0617139,5330.695813,29932.0,109,74,85.6,4715.7,1209330.2,40.750854,-74.003891,Hudson Yards-Chelsea-Flatiron-Union Square,MN0401,Chelsea-Hudson Yards,183002.0,49723,43566,60280,8150,60836,35730,7674,38340,30271,26227,1.68,4987,2331.0,168
5,4132,27353,1,7.0,0,40.0,103.25,40.0,103.0,3,5,940500,6.62,1,1007910016,984831,208499,8d,103 028,10305,1,292.6023449,4197.146035,27353.0,30,88,152.4,1938.5,1980538.3,40.7387,-73.997875,Hudson Yards-Chelsea-Flatiron-Union Square,MN0401,Chelsea-Hudson Yards,183002.0,49723,43566,60280,8150,60836,35730,7674,38340,30271,26227,1.68,4987,2331.0,168
4,19307,102046,8,5.0,102,206.5,93.5,25.0,94.0,2,3,1521000,5.29,1,1007650001,983838,209109,8b,103 032,10304,1,608.2954876,19709.24689,90114.0,114,8,195.5,109396.6,13963975.3,40.740534,-74.001941,Hudson Yards-Chelsea-Flatiron-Union Square,MN0401,Chelsea-Hudson Yards,183002.0,49723,43566,60280,8150,60836,35730,7674,38340,30271,26227,1.68,4987,2331.0,168
3,49375,202095,1,22.0,186,197.5,275.0,126.0,152.0,1,3,2340000,4.09,1,1007490001,984352,211731,8d,105S008,10303,1,975.5232171,53096.51683,202095.0,59,75,96.8,152106.0,18760234.2,40.747426,-73.999552,Hudson Yards-Chelsea-Flatiron-Union Square,MN0401,Chelsea-Hudson Yards,183002.0,49723,43566,60280,8150,60836,35730,7674,38340,30271,26227,1.68,4987,2331.0,168
