BBL,Largest Property Use Type - Gross Floor Area (ft²),Building Age,ENERGY STAR Score,Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Latitude,Longitude,NTA
1019250019,110480.0,114,86,4.5,0,40.806063,-73.95134,Central Harlem South
1016680001,102000.0,114,85,3.9,0,40.783625,-73.945637,Yorkville
1018800013,144125.0,94,81,4.5,0.4,40.802917,-73.965613,Morningside Heights
1016090007,114100.0,119,66,5.1,0.6,40.792122,-73.951961,East Harlem South
1021550035,183170.0,54,91,3.8,0,40.848908,-73.930948,Washington Heights North
"M1831014610007, M3901014610037",65287.0,115,82,6.3,0,40.763736,-73.95815,Lenox Hill-Roosevelt Island
1015950015,162000.0,52,95,4,0,40.798511,-73.949251,Central Harlem South
1021590051,134387.0,97,3,6.5,1.5,40.852631,-73.927604,Washington Heights North
1019880166,130560.0,32,82,4.9,0.5,40.820953,-73.951145,Manhattanville
1020290011,90080.0,79,51,5.5,0.8,40.821412,-73.940641,Central Harlem North-Polo Grounds
1007420007,318200.0,88,80,4.6,0.5,40.742867,-74.002136,Hudson Yards-Chelsea-Flatiron-Union Square
1009210064,55260.0,114,65,10.4,0,40.732716,-73.984665,Gramercy
1012150001,311000.0,54,86,5.7,0,40.785803,-73.974614,Upper West Side
1022150824,23080.0,69,98,7.4,0.2,40.871278,-73.911516,Marble Hill-Inwood
2025290081,81680.0,89,87,4,0.4,40.839378,-73.925714,Highbridge
2033860001,43260.0,94,43,8.1,0.5,40.899295,-73.8675,Woodlawn-Wakefield
2022840034,108000.0,53,81,4.4,0.4,40.809534,-73.919903,Mott Haven-Port Morris
2022800040,116460.0,113,85,5.2,0,40.806351,-73.921196,Mott Haven-Port Morris
2029960010,88900.0,105,70,4.6,0,40.834157,-73.887512,Crotona Park East
2026860020,164500.0,92,72,4.2,0,40.815429,-73.902139,Longwood
2029090032,74480.0,99,59,5,0,40.846162,-73.899264,Claremont-Bathgate
2047190001,109280.0,99,69,3.2,0,40.878577,-73.851163,Eastchester-Edenwald-Baychester
2050180001,58260.0,89,62,5.9,0.5,40.895104,-73.845968,Woodlawn-Wakefield
2044440016,117680.0,92,82,5.3,0.4,40.863055,-73.859387,Bronxdale
2038640001,304800.0,95,84,5,0.4,40.831601,-73.878912,West Farms-Bronx River
2056410280,59460.0,44,36,7.7,0,40.843873,-73.785219,Pelham Bay-Country Club-City Island
3008690001,92400.0,89,92,2.8,0.5,40.661061,-73.986534,Park Slope-Gowanus
3021770001,121200.0,99,70,4.2,0.4,40.706023,-73.961476,Williamsburg
3036040001,109200.0,89,62,3.7,0,40.660306,-73.907355,Brownsville
3055190001,72000.0,105,43,6.2,0.6,40.621871,-73.987396,Borough Park
3019830010,100800.0,64,79,5.8,0.4,40.68505,-73.960659,Clinton Hill
3020390002,138125.0,80,68,4.4,0.7,40.695633,-73.978215,Fort Greene
3022270001,202800.0,60,86,4.3,0,40.703624,-73.953146,Williamsburg
3060880001,116400.0,115,76,4.7,0,40.618415,-74.028842,Bay Ridge
3037440009,114000.0,112,67,5.8,0.3,40.66896,-73.904726,Brownsville
3075510026,184800.0,112,27,8.3,0.6,40.632562,-73.954724,Flatbush
4035490044,70860.0,46,91,4.5,0.3,40.698476,-73.905556,Ridgewood
4124950166,100900.0,56,79,3.6,0,40.67282,-73.769252,Springfield Gardens North
4088550020,90665.0,103,52,5.3,0.4,40.694518,-73.859659,Woodhaven
4106260001,128777.0,88,80,3.7,0.4,40.720713,-73.747001,Queens Village
4120190010,133480.0,88,86,2.1,0.3,40.678296,-73.79562,Baisley Park
4086160001,93883.0,88,62,3.1,0.3,40.731729,-73.717859,Bellerose
4109060001,109200.0,88,71,4.5,0.4,40.70799,-73.755269,Hollis
