LandUse,BldgArea,NumBldgs,NumFloors,ProxCode,LotType,BoroCode,BBL,XCoord,YCoord,ZoneMap,ZMCode,Sanborn,TaxMap,EDesigNum,PLUTOMapID,FIRM07_FLA,PFIRM15_FL,Version,DCPEdited,Shape_Leng,Shape_Area,Largest Property Use Type - Gross Floor Area (ft²),Building Age,ENERGY STAR Score,Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Latitude,Longitude,NTA
3.0,112884,1,6.0,2.0,3.0,3,3051020063,995620,175248,22c,,310 006,31602.0,,1,,,19v2,,662.492265402,26217.7064393,129817.0,80,72,3.3,0.6,40.647419,-73.958977,Flatbush
8.0,50000,4,4.0,1.0,3.0,3,3071230066,991284,156416,28c,,314 055,32106.0,,1,,,19v2,1.0,1264.45045174,87827.1620683,106800.0,105,75,5.0,0.0,40.595698,-73.97518,Gravesend
5.0,37334,1,2.0,2.0,3.0,4,4006620041,1007731,217740,9a,,402 040,40405.0,,1,,,19v2,,605.851631516,20645.5044352,39947.0,99,1,40.4,0.5,40.765191,-73.913949,Astoria
5.0,35280,1,3.0,3.0,5.0,4,4049770080,1031667,217118,10a,,411 003,42501.0,,1,,,19v2,,545.828567737,13584.4340274,24952.0,41,31,19.0,0.2,40.761981,-73.829335,Flushing
2.0,35040,1,4.0,1.0,3.0,3,3013040124,997008,181679,17b,,307 053,30504.0,,1,,,19v2,,403.341235404,10163.9550399,39150.0,96,42,3.6,0.7,40.665557,-73.953998,Crown Heights South
2.0,35249,1,4.0,2.0,3.0,3,3014080007,1002620,182237,17b,,307 061,30507.0,,1,,,19v2,,460.603361477,13120.0136713,48850.0,96,70,2.8,0.6,40.667136,-73.933642,Crown Heights North
2.0,34836,1,4.0,2.0,3.0,3,3014090037,1003988,182139,17b,,307 062,30507.0,,1,,,19v2,,452.051869917,12699.5335674,34836.0,94,82,4.1,0.6,40.666895,-73.929183,Crown Heights North
4.0,36193,1,1.75,3.0,5.0,3,3007540058,980354,176222,16b,,306 004,30305.0,,1,,,19v2,,601.73451152,20377.4639996,36193.0,18,82,4.0,0.1,40.646744,-74.017564,Sunset Park West
5.0,29340,1,3.0,2.0,5.0,1,1010920030,984938,217067,8c,,105N038,10405.0,,1,,,19v2,,355.683364619,7732.76880151,29500.0,99,43,11.9,0.5,40.762388,-73.997202,Clinton
5.0,146486,1,12.0,3.0,5.0,1,1007890052,987282,214343,8d,,105N034,10304.0,,1,,,19v2,,453.899412422,12742.598279,152515.0,96,70,11.8,0.3,40.755075,-73.988684,Midtown-Midtown South
